,saliency,display_index,word_length,sentence_length,relative_word_frequency,lemma_polarity,normalized_saliency_rank,word_position,human_importance_rating,capitalization,dependency_relation,sentence_id,worker_id,visualization_condition,condition_order,completion_time_ms
86,0.293,86,6,2,0.0,0.29757,1.0,1,5,first_upper,advmod,reviews-001325-0001,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,bars,saliency__bars__saliency-corrected,6332
87,0.17,87,4,11,0.0007070933813181004,-0.14965,0.2727272727272727,8,4,other,amod,reviews-214912-0001,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,bars,saliency__bars__saliency-corrected,7105
88,0.272,88,10,3,0.0,0.21734,0.6666666666666666,1,4,first_upper,advmod,reviews-241108-0003,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,bars,saliency__bars__saliency-corrected,5170
89,0.22899999999999998,89,3,9,0.0002791122277884751,0.0049299999999999995,0.2222222222222222,8,3,other,advmod,reviews-174824-0001,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,bars,saliency__bars__saliency-corrected,5483
90,0.0864,90,5,11,0.0006918391164584659,0.64445,0.2727272727272727,3,3,other,amod,reviews-346074-0001,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,bars,saliency__bars__saliency-corrected,7641
91,0.8009999999999999,91,5,2,0.0,0.0934,0.5,2,7,first_upper,root,reviews-235190-0001,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,bars,saliency__bars__saliency-corrected,7378
92,0.0996,92,1,8,0.0,-0.19821,0.5,1,3,all_upper,nsubj,reviews-187163-0002,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,bars,saliency__bars__saliency-corrected,6650
93,0.0999,93,7,4,0.0006447610383881966,0.0,0.75,3,3,other,root,reviews-080814-0001,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,bars,saliency__bars__saliency-corrected,5250
94,0.613,94,3,7,0.0037586266722922494,-0.38925,0.14285714285714285,5,6,other,advmod,reviews-210153-0003,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,bars,saliency__bars__saliency-corrected,6154
95,0.04931,95,2,6,0.0,0.0,0.8333333333333334,6,2,other,discourse,reviews-289763-0001,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,bars,saliency__bars__saliency-corrected,10598
